10	-123
16	-123
22	-123
28	-123
34	-123
40	-123
46	-123
52	-123
71	-123
77	-123
83	-123
89	-123
95	-123
101	-123
107	-123
113	-123
113	-117
107	-117
101	-117
95	-117
89	-117
83	-117
77	-117
71	-117
52	-117
46	-117
40	-117
34	-117
28	-117
22	-117
16	-117
10	-117
10	-111
16	-111
22	-111
28	-111
34	-111
40	-111
46	-111
52	-111
71	-111
77	-111
83	-111
89	-111
95	-111
101	-111
107	-111
113	-111
113	-105
107	-105
101	-105
95	-105
89	-105
83	-105
77	-105
71	-105
52	-105
46	-105
40	-105
34	-105
28	-105
22	-105
16	-105
10	-105
10	-99
16	-99
22	-99
28	-99
34	-99
40	-99
46	-99
52	-99
71	-99
77	-99
83	-99
89	-99
95	-99
101	-99
107	-99
113	-99
113	-93
107	-93
101	-93
95	-93
89	-93
83	-93
77	-93
71	-93
52	-93
46	-93
40	-93
34	-93
28	-93
22	-93
16	-93
10	-93
10	-87
16	-87
22	-87
28	-87
34	-87
40	-87
46	-87
52	-87
71	-87
77	-87
83	-87
89	-87
95	-87
101	-87
107	-87
113	-87
113	-81
107	-81
101	-81
95	-81
89	-81
83	-81
77	-81
71	-81
52	-81
46	-81
40	-81
34	-81
28	-81
22	-81
16	-81
10	-81
10	-75
16	-75
22	-75
28	-75
34	-75
40	-75
46	-75
52	-75
71	-75
77	-75
83	-75
89	-75
95	-75
101	-75
107	-75
113	-75
113	-69
107	-69
101	-69
95	-69
89	-69
83	-69
77	-69
71	-69
52	-69
46	-69
40	-69
34	-69
28	-69
22	-69
16	-69
10	-69
10	-63
16	-63
22	-63
28	-63
34	-63
40	-63
46	-63
52	-63
71	-63
77	-63
83	-63
89	-63
95	-63
101	-63
107	-63
113	-63
113	-57
107	-57
101	-57
95	-57
89	-57
83	-57
77	-57
71	-57
52	-57
46	-57
40	-57
34	-57
28	-57
22	-57
16	-57
10	-57
10	-38
16	-38
22	-38
28	-38
34	-38
40	-38
46	-38
52	-38
71	-38
77	-38
83	-38
89	-38
95	-38
101	-38
107	-38
113	-38
113	-32
107	-32
101	-32
95	-32
89	-32
83	-32
77	-32
71	-32
52	-32
46	-32
40	-32
34	-32
28	-32
22	-32
16	-32
10	-32
10	-26
16	-26
22	-26
28	-26
34	-26
40	-26
46	-26
52	-26
71	-26
77	-26
83	-26
89	-26
95	-26
101	-26
107	-26
113	-26
113	-20
107	-20
101	-20
95	-20
89	-20
83	-20
77	-20
71	-20
52	-20
46	-20
40	-20
34	-20
28	-20
22	-20
16	-20
10	-20
10	-14
16	-14
22	-14
28	-14
34	-14
40	-14
46	-14
52	-14
71	-14
77	-14
83	-14
89	-14
95	-14
101	-14
107	-14
113	-14
113	-8
107	-8
101	-8
95	-8
89	-8
83	-8
77	-8
71	-8
52	-8
46	-8
40	-8
34	-8
28	-8
22	-8
16	-8
10	-8
10	-2
16	-2
22	-2
28	-2
34	-2
40	-2
46	-2
52	-2
71	-2
77	-2
83	-2
89	-2
95	-2
101	-2
107	-2
113	-2
113	4
107	4
101	4
95	4
89	4
83	4
77	4
71	4
52	4
46	4
40	4
34	4
28	4
22	4
16	4
10	4
10	10
16	10
22	10
28	10
34	10
40	10
46	10
52	10
71	10
77	10
83	10
89	10
95	10
101	10
107	10
113	10
113	16
107	16
101	16
95	16
89	16
83	16
77	16
71	16
52	16
46	16
40	16
34	16
28	16
22	16
16	16
10	16
10	22
16	22
22	22
28	22
34	22
40	22
46	22
52	22
71	22
77	22
83	22
89	22
95	22
101	22
107	22
113	22
113	28
107	28
101	28
95	28
89	28
83	28
77	28
71	28
52	28
46	28
40	28
34	28
28	28
22	28
16	28
10	28
